distance  ,-inf, angle_to_goal(rad)  ,-0.0272042, inc_x  ,294, inc_y  ,-8
distance  ,nan, angle_to_goal(rad)  ,-0.0373975, inc_x  ,294, inc_y  ,-11
distance  ,nan, angle_to_goal(rad)  ,-0.0373975, inc_x  ,294, inc_y  ,-11
distance  ,nan, angle_to_goal(rad)  ,-0.0443395, inc_x  ,293, inc_y  ,-13
distance  ,0.396339, angle_to_goal(rad)  ,-0.0206867, inc_x  ,290, inc_y  ,-6
distance  ,nan, angle_to_goal(rad)  ,0.0179192, inc_x  ,279, inc_y  ,5
distance  ,nan, angle_to_goal(rad)  ,-0.0245565, inc_x  ,285, inc_y  ,-7
distance  ,nan, angle_to_goal(rad)  ,-0.023968, inc_x  ,292, inc_y  ,-7
distance  ,nan, angle_to_goal(rad)  ,-0.023968, inc_x  ,292, inc_y  ,-7
distance  ,nan, angle_to_goal(rad)  ,-0.0344691, inc_x  ,290, inc_y  ,-10
distance  ,nan, angle_to_goal(rad)  ,-0.0308122, inc_x  ,292, inc_y  ,-9
distance  ,-inf, angle_to_goal(rad)  ,-0.0308122, inc_x  ,292, inc_y  ,-9
distance  ,-inf, angle_to_goal(rad)  ,-0.0593707, inc_x  ,286, inc_y  ,-17
distance  ,nan, angle_to_goal(rad)  ,-0.0463953, inc_x  ,280, inc_y  ,-13
distance  ,nan, angle_to_goal(rad)  ,-0.0463953, inc_x  ,280, inc_y  ,-13
distance  ,nan, angle_to_goal(rad)  ,-0.0630741, inc_x  ,285, inc_y  ,-18
distance  ,nan, angle_to_goal(rad)  ,-0.0604246, inc_x  ,281, inc_y  ,-17
distance  ,nan, angle_to_goal(rad)  ,-0.0494297, inc_x  ,283, inc_y  ,-14
distance  ,nan, angle_to_goal(rad)  ,-0.0447976, inc_x  ,290, inc_y  ,-13
distance  ,nan, angle_to_goal(rad)  ,-0.0467886, inc_x  ,299, inc_y  ,-14
distance  ,nan, angle_to_goal(rad)  ,-0.0467886, inc_x  ,299, inc_y  ,-14
distance  ,nan, angle_to_goal(rad)  ,-0.0564185, inc_x  ,301, inc_y  ,-17
distance  ,nan, angle_to_goal(rad)  ,-0.0540015, inc_x  ,296, inc_y  ,-16
distance  ,nan, angle_to_goal(rad)  ,-0.0686206, inc_x  ,291, inc_y  ,-20
